x y
2.0 1.000000
2.0 1.020201
2.0 1.040197
2.0 1.059994
2.0 1.079598
2.0 1.099015
2.1 1.118250
2.1 1.137308
2.1 1.156195
2.1 1.174915
2.1 1.193473
2.1 1.211873
2.1 1.230120
2.1 1.248218
2.1 1.266170
2.1 1.283982
2.2 1.301656
2.2 1.319196
2.2 1.336606
2.2 1.353889
2.2 1.371048
2.2 1.388086
2.2 1.405007
2.2 1.421813
2.2 1.438508
2.2 1.455093
2.3 1.471572
2.3 1.487946
2.3 1.504220
2.3 1.520394
2.3 1.536472
2.3 1.552456
2.3 1.568347
2.3 1.584148
2.3 1.599861
2.4 1.615488
2.4 1.631031
2.4 1.646492
2.4 1.661872
2.4 1.677174
2.4 1.692399
2.4 1.707548
2.4 1.722624
2.4 1.737628
2.4 1.752561
2.5 1.767425
2.5 1.782222
2.5 1.796952
2.5 1.811618
2.5 1.826220
2.5 1.840760
2.5 1.855239
2.5 1.869658
2.5 1.884018
2.5 1.898321
2.5 1.912568
2.6 1.926760
2.6 1.940897
2.6 1.954982
2.6 1.969014
2.6 1.982996
2.6 1.996927
2.6 2.010809
2.6 2.024643
2.6 2.038430
2.6 2.052170
2.7 2.065865
2.7 2.079515
2.7 2.093120
2.7 2.106683
2.7 2.120203
2.7 2.133682
2.7 2.147120
2.7 2.160517
2.7 2.173875
2.8 2.187194
2.8 2.200475
2.8 2.213719
2.8 2.226926
2.8 2.240096
2.8 2.253231
2.8 2.266331
2.8 2.279397
2.8 2.292428
2.8 2.305427
2.9 2.318392
2.9 2.331326
2.9 2.344227
2.9 2.357098
2.9 2.369938
2.9 2.382747
2.9 2.395527
2.9 2.408278
2.9 2.421000
2.9 2.433693
3.0 2.446359
3.0 2.458997
3.0 2.471609
3.0 2.484193
3.0 2.496752
3.0 2.509284
